row_id,embedding_seperated,embedding_model_name,sentence_embedding_method,feature_engenearing,grading_model,dataset_name,dataset_split,seed_data_split,left_out_dataset,shots,epochs,finished_pred,last_pred_index,time_stamp,rmse,pears_correlation,p_value,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted
158,True,embed_words_conceptnet,avg,cosine_similarity,Isotonic Regression,concatenated_domains,validation,42,science,0,0,True,6862,2023-05-31 12:02:32,0.988765232895746,0.34613549465911,2.0598502163923508e-192,0.2756811889844091,0.1527536438385293,0.2135077112090723,0.174501095111886,0.2756811889844091,0.2756811889844091,0.2756811889844091,0.1965215927430916,0.2756811889844091,0.2255320768055117
159,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,concatenated_domains,validation,42,,0,0,True,2012,2023-05-31 12:02:32,0.9339599902617226,0.3844337469342689,6.747010695056021e-72,0.3219076005961251,0.2627816963298259,0.2100282035711595,0.167053369821894,0.3219076005961251,0.3219076005961251,0.3219076005961251,0.4405771671812933,0.3219076005961251,0.2625162734518738
160,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,concatenated_domains,validation,42,biology,0,0,True,3591,2023-05-31 12:02:32,1.355281217652324,0.3149663678757886,1.512325645602942e-83,0.1202672605790645,0.2894380274580697,0.3368305767850563,0.0957758901763857,0.1202672605790645,0.1202672605790645,0.1202672605790645,0.8269654676198775,0.1202672605790645,0.1014331559846352
161,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,concatenated_domains,validation,42,english_language_arts,0,0,True,3628,2023-05-31 12:02:32,0.7492871996662896,0.3300722082715517,5.649788395351417e-93,0.4348305318269496,0.7802378850922539,0.3390353840829995,0.2126195552324974,0.4348305318269496,0.4348305318269496,0.4348305318269496,0.7228738889732985,0.4348305318269496,0.2705983764056355
162,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,concatenated_domains,validation,42,english,0,0,True,5395,2023-05-31 12:02:32,0.555984275552979,0.4628768531652583,8.805986078276508e-285,0.2850259451445515,0.3506834264246403,0.359977092978395,0.2015219671790004,0.2850259451445515,0.2850259451445515,0.2850259451445515,0.3662531088444919,0.2850259451445515,0.17720182342563
163,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,concatenated_domains,validation,42,neural_networks,0,0,True,645,2023-05-31 12:02:32,0.5490779653452593,0.0306884698378823,0.4361757816717385,0.3452012383900928,0.3080091132141605,0.3535898183231322,0.2128411009607231,0.3452012383900928,0.3452012383900928,0.3452012383900928,0.2003797534288495,0.3452012383900928,0.1909089309116577
164,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,concatenated_domains,validation,42,science,0,0,True,6862,2023-05-31 12:02:32,0.9827483605710604,0.3523559822192068,8.579209951816046e-200,0.2698528340375929,0.1176835440025982,0.1564350845626816,0.121230328751592,0.2698528340375929,0.2698528340375929,0.2698528340375929,0.1922554163323252,0.2698528340375929,0.2081997292180866
165,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,concatenated_domains,validation,42,,0,0,True,2012,2023-05-31 12:02:32,0.9336914305990816,0.384337037031418,7.36741217576968e-72,0.3219076005961251,0.2627816963298259,0.2100282035711595,0.167053369821894,0.3219076005961251,0.3219076005961251,0.3219076005961251,0.4405771671812933,0.3219076005961251,0.2625162734518738
166,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,concatenated_domains,validation,42,biology,0,0,True,3591,2023-05-31 12:02:32,1.3556374912036655,0.3149663678757887,1.512325645602942e-83,0.1194320712694877,0.2892580941415138,0.3360860271848565,0.0952091648743601,0.1194320712694877,0.1194320712694877,0.1194320712694877,0.8268264821876041,0.1194320712694877,0.1003155225260135
167,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,concatenated_domains,validation,42,english_language_arts,0,0,True,3628,2023-05-31 12:02:33,0.7489669821482646,0.3300722082715517,5.649788395351417e-93,0.4348305318269496,0.7802378850922539,0.3390353840829995,0.2126195552324974,0.4348305318269496,0.4348305318269496,0.4348305318269496,0.7228738889732985,0.4348305318269496,0.2705983764056355
168,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,concatenated_domains,validation,42,english,0,0,True,5395,2023-05-31 12:02:33,0.5559917456289583,0.4628768531652583,8.805986078276508e-285,0.2850259451445515,0.3513902571754508,0.3600612461419754,0.2013558911688607,0.2850259451445515,0.2850259451445515,0.2850259451445515,0.3670455227088,0.2850259451445515,0.1769888299848517
169,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,concatenated_domains,validation,42,neural_networks,0,0,True,645,2023-05-31 12:02:33,0.5487235453980946,0.0306884698378822,0.4361757816717385,0.3452012383900928,0.3080091132141605,0.3535898183231322,0.2128411009607231,0.3452012383900928,0.3452012383900928,0.3452012383900928,0.2003797534288495,0.3452012383900928,0.1909089309116577
170,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,concatenated_domains,validation,42,science,0,0,True,6862,2023-05-31 12:02:33,0.9814106745938632,0.3527383184454427,2.9808174179084034e-200,0.2697071251639225,0.1177270351254134,0.1564319409994786,0.1211545769769115,0.2697071251639225,0.2697071251639225,0.2697071251639225,0.1921836034424562,0.2697071251639225,0.2079613481797384
171,True,embed_words_conceptnet,avg,cosine_similarity,Isotonic Regression,texas,validation,42,,0,0,True,227,2023-05-31 12:02:33,3.334425995775269,0.4169872883493996,5.267777795540413e-11,0.4605263157894737,0.2348577112004222,0.2281567549558554,0.1988848390176169,0.4605263157894737,0.4605263157894737,0.4605263157894737,0.5854096024374662,0.4605263157894737,0.4442693560247924
172,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,texas,validation,42,,0,0,True,227,2023-05-31 12:02:33,3.3315465843338563,0.4160735778812938,5.857775595703292e-11,0.4649122807017544,0.240115469519443,0.2343146608513925,0.2059651817716334,0.4649122807017544,0.4649122807017544,0.4649122807017544,0.5892963687874807,0.4649122807017544,0.4516095345891611
173,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,texas,validation,42,,0,0,True,227,2023-05-31 12:02:33,3.3304320501418716,0.4160735778812939,5.857775595703292e-11,0.4605263157894737,0.2338900134952767,0.2270682840397982,0.1990834983222256,0.4605263157894737,0.4605263157894737,0.4605263157894737,0.5850846118332267,0.4605263157894737,0.4470137377407994
